,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
age,1.0,-0.0008657050101409117,0.00459358049341218,-0.03436895116686081,0.02436474093611962,-0.0003706854674455531,0.0008567149710494095,0.12937161424620522,0.010767429541669468,-0.01772513191191968
duration,-0.0008657050101409117,1.0,-0.07169922626415286,-0.047577015445611645,0.020640350701749542,-0.027967884489332732,0.005312267762761659,-0.008172872813930756,-0.03289665570187456,-0.04470322316242443
campaign,0.00459358049341218,-0.07169922626415286,1.0,0.052583573385024604,-0.07914147244884367,0.15075380555787,0.12783591160941254,-0.013733098741899442,0.13513251080435595,0.1440948948447463
pdays,-0.03436895116686081,-0.047577015445611645,0.052583573385024604,1.0,-0.5875138561368126,0.2710041742618581,0.07888910871591855,-0.09134235397834709,0.2968991123969819,0.37260474218583417
previous,0.02436474093611962,0.020640350701749542,-0.07914147244884367,-0.5875138561368126,1.0,-0.42048910941334483,-0.20312996745025236,-0.050936350906735116,-0.4544936536077253,-0.5013329290363027
emp.var.rate,-0.0003706854674455531,-0.027967884489332732,0.15075380555787,0.2710041742618581,-0.42048910941334483,1.0,0.7753341708348431,0.1960412681319871,0.9722446711516167,0.9069701012560616
cons.price.idx,0.0008567149710494095,0.005312267762761659,0.12783591160941254,0.07888910871591855,-0.20312996745025236,0.7753341708348431,1.0,0.05898618174871153,0.6882301070374915,0.5220339770130861
cons.conf.idx,0.12937161424620522,-0.008172872813930756,-0.013733098741899442,-0.09134235397834709,-0.050936350906735116,0.1960412681319871,0.05898618174871153,1.0,0.277686219663771,0.10051343183760007
euribor3m,0.010767429541669468,-0.03289665570187456,0.13513251080435595,0.2968991123969819,-0.4544936536077253,0.9722446711516167,0.6882301070374915,0.277686219663771,1.0,0.9451544313982757
nr.employed,-0.01772513191191968,-0.04470322316242443,0.1440948948447463,0.37260474218583417,-0.5013329290363027,0.9069701012560616,0.5220339770130861,0.10051343183760007,0.9451544313982757,1.0
